"Id","Name","Aka","Type","Clan","Adv","Group","Capacity","Disciplines","Card Text","Set","Title","Banned","Artist"
"200031","Aisling Sturbridge","","Vampire","Tremere","","2","5","dom AUS THA","Camarilla: Younger Tremere cannot block Aisling.","FN:U, CE:PTr","","","John Van Fleet"
"200032","Aiyana, The Wolfcatcher","","Vampire","Ahrimane","","4","3","pre spi","Sabbat: Aiyana gets an optional press each combat when opposing a werewolf, and she can burn a blood each round to prevent all damage a werewolf inflicts on her that round. Sterile.","LoB:U","","","Jim Pavelec"
"200033","Akram","","Vampire","Brujah","","2","8","pot pre CEL QUI","Camarilla primogen: Once each turn after completing combat, if Akram and the opposing minion are still ready, Akram may burn 1 blood to begin another combat with the opposing minion.","AH:V3, CE:PB","primogen","","Terese Nielsen"
"200034","Aksinya Daclau","","Vampire","Gangrel antitribu","","4","9","cel tha ANI FOR PRE PRO","Sabbat: Once each turn during a bleed against you, if Aksinya is ready and unlocked, you may discard a master card from your hand to redirect the bleed to any other Methuselah.","Third:V","","","Abrar Ajmal"
"200035","Al-Ashrad, Amr of Alamut","","Vampire","Assamite","","2","9","aus obf CEL QUI THA","Independent: Al-Ashrad can burn a location requiring a clan as a (D) action that costs 2 blood. Blood cursed. +1 bleed.","AH:V3, FN:PA, POD:DTC","","","Lawrence Snelly"
"200036","Al-Ashrad, Amr of Alamut","","Vampire","Assamite","Advanced","2","9","AUS CEL OBF QUI THA","Camarilla: During the first round of combat, Al-Ashrad can use strikes requiring Thaumaturgy [tha] that are not usable during the first round. Blood cursed.
[MERGED] Assamite Inner Circle: +1 bleed.","TU:C/A2","","","Ari Targownik"
"200037","Al-Muntaquim, The Avenger","","Vampire","True Brujah","","4","8","obf pre FOR POT TEM","Independent: During your unlock phase, you may burn a Caitiff you control to give Al-Muntaquim +1 bleed for the remainder of the game. Al-Muntaquim unlocks whenever a Gehenna card is played. He cannot use cards that require Celerity [cel]. Scarce.","LoB:U","","","Christopher Shy"
"200038","Al-Muntathir, God's Witness","","Vampire","True Brujah","","5","8","obf qui AUS FOR PRE TEM","Sabbat: If you control four or more True Brujah, burn Al-Muntathir. He cannot use cards requiring Celerity [cel]. Black Hand. Scarce.","HttB:U/B2","","","Jami Waggoner"
"200039","Alabástrom","","Vampire","Gargoyle","","6","7","aus cel for POT VIS","Anarch: If Alabástrom is ready during your turn, you can unlock another ready Gargoyle you control. Flight [FLIGHT].","Anthology:1","","","Ginés Quiñonero"
"200040","Alan Sovereign","","Vampire","Ventrue","","3","6","for pre AUS DOM","Camarilla: When you play an investment card, add an additional counter to it from the blood bank.","CE:V, BSC:X","","","Steve Prescott"
"200041","Alan Sovereign","","Vampire","Ventrue","Advanced","3","6","for pre AUS DOM","Advanced, Camarilla: While Alan is ready, you may pay some or all of the pool cost of equipping from any investment cards you control.
[MERGED] During your master phase, if Alan is ready, you may move a counter from any investment card to your pool.","Promo-20051001","","","Leif Jones"
"200042","Alcoan","","Vampire","Harbinger of Skulls","","6","7","for AUS CEL NEC","Sabbat: If Alcoan is in combat with an ally or younger vampire, you can look at the opposing minion's controller's hand before range is determined during the first round.","HttB:U/A2","","","Justin Norman"
"200043","Aleister Crowley","","Vampire","Malkavian","","5","7","aus obf DEM PRE THA","Camarilla: Frenzy cards cannot be played on Aleister.","KoT:PM2/A1","","","Vince Locke"
"200044","Alejandro Aguirre","","Vampire","Tremere antitribu","","3","5","ani aus dom tha","Sabbat: If Alejandro is ready, he may lock before range is determined in any combat that does not involve him to inflict 1 unpreventable damage on each combatant.","CE:V, Third:PTr, BSC:X","","","Ken Meyer, Jr."
"200045","Aleph","","Vampire","Malkavian","","1","4","dom AUS","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Larry MacDougall"
"200046","Alessandro Garcia","","Vampire","Brujah antitribu","","4","4","pot pre pro","Sabbat: Alessandro gets +1 strength in combat with a Lasombra.","Third:PB","","","Eric Lofgren"
"200047","Alex Camille","","Vampire","Gangrel antitribu","","5","5","cel for obf PRO","Sabbat: During an action, Alex can burn 1 blood to get +1 intercept.","DM:C/2, Anthology:1","","","Jarkko Suvela"
"200048","Alex Wilkins","","Vampire","Caitiff","","5","1","cel","Camarilla: If Alex successfully bleeds, the target Methuselah can burn 1 additional pool to steal him after resolution.","KoT:V/B1","","","Trevor Claxton"
"201529","Alexa Draper","","Vampire","Ventrue","","6","8","for pot DOM PRE","Camarilla Prince of Melbourne: During the polling step of any referendum, Alexa can discard a card requiring Dominate [dom] to get +1 vote.","V5:PV1, NB:PTr1","prince","","Martín de Diego Sábada"
"201530","Alexander Silverson","","Vampire","Malkavian","","6","8","pre AUS DOM OBF","Camarilla Prince of Birmingham: Vampires must burn 1 blood to cast votes and ballots against referendums called by Alexander.","V5:PM2, NB:PM1","prince","","Ken Meyer, Jr."
"200049","Alexandra","","Vampire","Toreador","","2","11","dom ANI AUS CEL PRE","Camarilla Toreador Inner Circle: Once during your turn, you may lock or unlock another ready Toreador. +2 bleed.","DS:V, CE:PTo","inner circle","","Lawrence Snelly"
"200050","Alexis Sorokin","","Vampire","Ravnos","","4","8","for CEL CHI OBF PRO","Independent: Once each combat, Alexis can strike: dodge. She can steal an equipment as a (D) action. She gets +1 bleed against a Methuselah who controls a ready Toreador. Red List.","KMW:U/PAn, POD:DTC","","","Rik Martin"
"200051","Alfred Benezri","","Vampire","Pander","","3","6","aus dom PRE THA","Sabbat bishop: Alfred gets -1 strength in combat with an ally.","CE:V, BSC:X","bishop","","Quinton Hoover"
"200052","Alfred Benezri","","Vampire","Pander","Advanced","3","7","aus dom PRE THA","Advanced, Sabbat bishop: If Alfred is ready, he may lock before range is determined to end combat between two other Sabbat vampires.
[MERGED] Archbishop of Montreal: Once each referendum, he may burn 1 blood to gain 1 vote.","Anarchs:U2","bishop","","Christopher Shy"
"200053","Ali Kar","","Vampire","Assamite","","3","3","obf qui","Independent: Blood cursed.","Anarchs:U2, POD:DTC","","","Peter Bergting"
"201531","Alice Chen","","Vampire","Ventrue","","6","7","dom obf FOR PRE","Camarilla Prince of Nairobi.","V5:PV2, NB:PTr1","prince","","Amy Wilkins"
"200054","Alicia Barrows","","Vampire","Malkavian antitribu","","4","9","AUS DEM OBF POT PRE","Sabbat Archbishop of Mexico City: If you control the Edge during your unlock phase, you may look at the hand of another Methuselah and discard up to two Gehenna cards from it.","Gehenna:U","archbishop","","Randy Gallegos"
"201575","Alicia Cortez","","Vampire","Lasombra","","4","8","CEL DOM OBT","Camarilla Prince of Tampa: After Alicia performs a successful directed action, she can discard a political action card to lock a younger vampire controlled by (one of) the target Methuselah(s).","Promo-20210331","prince","","Ginés Quiñonero"
"201576","Aline Gädeke","","Vampire","Brujah","","6","7","cel POT PRE","Anarch Baron of Mannheim: Once each turn, Aline can burn 1 blood to unlock after another Anarch you control performs a successful action.","V5A:PB2","baron","","Ken Meyer, Jr."
"200055","Allanyan Serata","","Vampire","Toreador","","5","9","ani AUS CEL OBT PRE","Camarilla primogen: +1 strength.","KoT:V/B2","primogen","","Becky Jollensten"
"200056","Allison Maller","","Vampire","Brujah","","3","4","cel pot pre","Camarilla.","CE:V/PB, BSC:X","","","Lawrence Snelly"
"200057","Allonzo Montoya","","Vampire","Abomination","","3","6","ani aus OBF SER","Independent: Allonzo gets +1 stealth on actions that require Serpentis [ser]. Allonzo cannot block undirected actions. Scarce. Sterile.","KMW:U","","","Mark Poole"
"200058","Almiro Suarez","","Vampire","Tremere","","3","2","aus","Camarilla.","CE:V, BSC:X","","","Christopher Shy"
"200059","Almodo Giovanni","","Vampire","Giovanni","","4","3","dom pot","Independent.","KMW:U, POD:DTC","","","Rik Martin"
"200060","Alonso Petrodon","","Vampire","Nosferatu","","5","10","for tha ANI DOM OBF POT","Camarilla Nosferatu Justicar: Alonso inflicts 1 unpreventable damage on each anarch controlled by the target of the bleed after bleeding successfully. +1 bleed.","KoT:V/A2","justicar","","Tony Shasteen"
"200061","Alonzo Guillen","","Vampire","Nosferatu","","3","6","ani for pot OBF","Camarilla: During your unlock phase and your discard phase, if Alonzo is ready, you may burn the Edge to look at another Methuselah's hand.","CE:V, BSC:X","","","Christopher Shy"
"200062","Alu","","Vampire","Assamite","","5","2","obf","Independent: Blood cursed.","LotN:U, POD:DTC","","","Jim Pavelec"
"201577","Aluc Romas de Leon","","Vampire","Follower of Set","","6","5","aus obf pro PRE","Anarch.","V5A:PMin1","","","Amy Wilkins"
"200063","Alvaro, The Scion of Angelica","","Vampire","Lasombra","","2","9","dom pre OBT POT","Sabbat Archbishop of Pittsburgh: After resolution of any political action, if Alvaro abstained (even in torpor), he can gain 2 blood. +1 bleed.","Sabbat:V, SW:PL, POD:DTC","archbishop","","Scott Fischer"
"200064","Amadeo","","Vampire","Nosferatu","","2","8","ani aus pre OBF POT","Camarilla primogen: {+1 hunt.}","DS:V, CE:PN","primogen","","Daniel Gelon"
"200065","Amaravati","","Vampire","Assamite","","4","8","ani chi DOM OBF QUI","Independent: During the polling step of a political action, Amaravati can burn 2 blood to give each ready Assamite you control +1 vote. Blood cursed.","KMW:U, POD:DTC","","","Brian LeBlanc"
"200066","Amavi","","Vampire","Akunanse","","4","8","pre pro ABO ANI FOR","Laibon: +1 bleed.","LoB:PA2","","","Rebecca Guay"
"200067","Amber","","Vampire","Toreador antitribu","","5","5","cel AUS PRE","Sabbat.","DM:C/2","","","Ginés Quiñonero"
"200068","Ambrogino Giovanni","","Vampire","Giovanni","","2","9","aus DOM NEC POT THA","Independent. 1 vote (titled): +1 bleed.","FN:U2, POD:DTC","1 vote","","Christopher Shy"
"200069","Ambrogino Giovanni","","Vampire","Giovanni","Advanced","2","9","aus DOM NEC POT THA","Independent: During your unlock phase, Ambrogino can remove seven cards in your ash heap from the game to gain 2 blood. Red List. +1 bleed.
[MERGED] +1 stealth.","KMW:U, POD:DTC","","","Ken Meyer, Jr."
"200070","Ambrosio Luis Monçada, Plenipotentiary","","Vampire","Lasombra","","2","10","aus for DOM OBT POT PRE","Sabbat cardinal: Monçada cannot block. Actions directed at him cost 1 additional pool. If he is ready during your discard phase, you can unlock another ready Lasombra.","SW:U, POD:DTC","cardinal","","Christopher Shy"
"200071","Amelia","","Vampire","Brujah antitribu","","2","7","CEL POT PRE","Sabbat bishop: Amelia can enter combat with any vampire of capacity below 4 controlled by another Methuselah as a +1 stealth (D) action.","SW:PB","bishop","","John Van Fleet"
"200072","Amelia, The Blood Red Tears","","Vampire","Nosferatu","","3","5","ani obf POT","Camarilla: After combat with Amelia, the opposing minion burns 1 blood or life.","CE:V, BSC:X","","","Lawrence Snelly"
"201624","Amelia Locke","","Vampire","Ventrue","","6","6","cel dom FOR PRE","Camarilla.","NB:PTr1/PV1","","","Ken Meyer, Jr."
"200073","Amenophobis","","Vampire","Follower of Set","","4","7","dom pre OBF SER","Camarilla primogen: You can draw 1 card (discard down afterward) after resolution of any successful action requiring Serpentis [ser]. Amenophobis gets +1 bleed against the Methuselah who has the Edge.","Gehenna:U, POD:DTC","primogen","","Mark Poole"
"201512","America Johnson","","Vampire","Tzimisce","","5","4","vic AUS","Sabbat.","SP:DoF2","","","Ken Meyer, Jr."
"200074","Amisa","","Vampire","Follower of Set","","2","8","pre pro OBF SER","Independent. 2 votes (titled): Amisa can lock a vampire with capacity 8 or more as a (D) action.","AH:V3, FN:PS, POD:DTC","2 votes","","Pete Venters"
"200075","Ana Rita Montaña","","Vampire","Tzimisce","","3","5","aus dom obf VIC","Sabbat.","BH:U2","","","Mark Nelson"
"200076","Anarch Convert","","Vampire","Caitiff","","ANY","1","-none-","Anarch: As the convert enters play, you can remove him from the game to make a non-titled vampire you control Anarch and either gain 1 pool or draw 1 card from your crypt.","TR:U, Anthology:2, Promo-20210310","","","Lawrence Snelly"
"200077","Anastasia Grey","","Vampire","Gangrel","","1","3","ani pro","Camarilla.","Jyhad:V, VTES:V, Tenth:B","","","Douglas Shuler"
"200078","Anastasz di Zagreb","","Vampire","Tremere","","3","8","ani cel dom AUS THA","Camarilla Tremere Justicar: If there are any other justicars ready, Anastasz gets 1 fewer vote from his justicar title. Anastasz may steal 1 blood as a ranged strike.","CE:V, KMW:PAl, BSC:X","justicar","","Christopher Shy"
"200079","Anatole, Prophet of Gehenna","","Vampire","Malkavian","","2","8","dom for AUS DEM OBF","Camarilla: If Anatole is ready during your master phase, you may look at the top 5 cards of your library and then shuffle the top 5 cards of your library. +1 intercept.","FN:U, CE:PM","","","John Van Fleet"
"201532","Andi Liu","","Vampire","Malkavian","","6","6","aus obf pre DOM","Camarilla Prince of Taipei.","V5:PM2, NB:PM1","prince","","Amy Wilkins"
"200080","Andre LeRoux","","Vampire","Toreador","","5","3","aus","Camarilla: {If} a vampire you control would successfully bleed, you can reduce the bleed amount by 1 to give Andre +2 bleed this turn.","KoT:V/B2","","","Juan Antonio Serrano Garcia"
"200081","André the Manipulator","","Vampire","Gangrel","","5","6","FOR PRO","Camarilla: While André is ready, you get +2 hand size.","Anthology:LARP1","","","Noora Hirvonen"
"200082","Andrea Giovanni","","Vampire","Giovanni","","2","7","pot vic DOM NEC","Independent: Andrea gets +1 stealth during actions requiring Necromancy [nec].","FN:U2, POD:DTC","","","Christopher Shy"
"200083","Andreas, The Bard of Crete","","Vampire","Toreador","","1","9","dom pro AUS CEL PRE","Camarilla primogen: Once each turn, Andreas may burn 1 blood to get +1 intercept for the current action.","Jyhad:V, VTES:V, Tenth:B","primogen","","Pete Venters"
"200084","Andrei Puxon","Andrei Puxton","Vampire","Ravnos","","2","5","ani cel chi for","Independent.","DS:V, Tenth:B, POD:DTC","","","Cliff Nielson"
"200085","Andrew Emory","","Vampire","Lasombra","","4","5","aus dom pot OBT","Sabbat bishop.","Third:V, HttB:PKia, POD:DTC","bishop","","Steve Eidson"
"200086","Andrew Stuart","","Vampire","Tremere","","4","5","AUS DOM THA","Camarilla: As Andrew plays a card requiring Thaumaturgy [tha] (before replacing the card), reveal the top card of your library. If it also requires Thaumaturgy, the card played is canceled and Andrew burns 1 blood.","KoT:V/B2","","","Mike Gaydos & Mike Chaney"
"200087","Andy","","Vampire","Caitiff","","4","1","for","Camarilla: An older vampire opposing Andy gets one optional press each combat.","TR:U","","","Andrew Trabbold"
"200088","Angel","","Vampire","Brujah","","1","2","cel","Camarilla.","Jyhad:V, VTES:V, Tenth:A","","","Dan Smith"
"200089","Angel Chavarria","","Vampire","Samedi","","6","3","THN","Independent.","HttB:U/A2","","","Samuel Araya"
"200090","Angela Decker","","Vampire","Pander","","2","1","pre","Sabbat: If Angela is burned in combat, burn 2 pool.","Sabbat:V, SW:U","","","Max Shade Fellwalker"
"200091","Angela Preston","","Vampire","Daughter of Cacophony","","2","5","for MEL PRE","Camarilla: Angela must burn 1 blood to attempt to block an older vampire. You may lock Angela during your influence phase to unlock any other vampire.","BL:U2","","","Christopher Shy"
"200092","Angelica, The Canonicus","","Vampire","Lasombra","","2","10","cel obf DOM OBT POT","Sabbat cardinal: During an action, Angelica can discard X master cards to get +X intercept.","Sabbat:V, SW:PL, POD:DTC","cardinal","","John Bolton"
"200093","Angelique","","Vampire","Harbinger of Skulls","","6","9","AUS FOR NEC SER THA","Sabbat: While Angelique is ready, cards requiring Necromancy [nec] cost Harbingers of Skulls you control 1 fewer blood.","LK:3","","","Noora Hirvonen"
"200094","Angelo","","Vampire","Blood Brother","","3","7","pot vic CEL FOR SAN","Independent. Red List: All Blood Brothers may play cards that require Sanguinus [san] as if Angelo were a member of any circle. Angelo can burn a location as a (D) action. He cannot have or use retainers. Sterile.","Promo-20051026","","","Ken Meyer, Jr."
"200095","Angus the Unruled","","Vampire","Gangrel","","1","10","cel for pot ANI PRO","Camarilla Gangrel Justicar: +1 strength.","Jyhad:V, VTES:V, Tenth:B","justicar","","Richard Kane Ferguson"
"200096","Anisa Marianna Lopez","","Vampire","Harbinger of Skulls","","2","8","aus FOR NEC QUI","Sabbat: Anisa can burn a vampire with a capacity less than 4 controlled by your predator or prey as a (D) action that costs 1 pool.","BL:U1","","","Christopher Shy"
"200097","Anjalika Underwood","","Vampire","Ravnos","","5","5","aus chi for ANI","Independent.","LotN:U, POD:DTC","","","Leif Jones"
"200098","Anka, Priestess of Thorns","","Vampire","Ravnos","","2","4","ani chi pro","Sabbat: Anka can enter combat with a Lasombra as a (D) action.","FN:U2, POD:DTC","","","Christopher Shy"
"200099","Ankh-sen-Sutekh","","Vampire","Follower of Set","","4","6","obf PRE SER","Independent: +1 bleed.","KMW:U, POD:DTC","","","Monte Moore"
"200100","Ankla Hotep","","Vampire","Ravnos","","2","9","pro CHI FOR OBF PRE","Independent: Rescuing Ankla from torpor costs 2 fewer blood. He gets 1 optional press each combat.","FN:PR, POD:DTC","","","Christopher Shy"
"200101","Ankou, The","","Vampire","Malkavian","","5","10","AUS DEM OBF","Camarilla: If any vampire successfully hunts while the Ankou is ready and unlocked, the Ankou can burn that vampire as a (D) action that turn (even on another Methuselah's turn).","KoT:V/A2","","","Warren Mahy"
"200102","Anna ""Dictatrix11"" Suljic","","Imbued","Martyr","","4","6","mar red viz","Anna may move 2 blood from the blood bank to any vampire as a +1 stealth action. During your unlock phase, you may look at the top three cards of your library.","NoR:U","","","Thomas Manning"
"200103","Annabelle Triabell","","Vampire","Toreador","","3","9","dom for AUS CEL PRE","Camarilla primogen: Annabelle can give Toreador vampires +1 bleed for the remainder of the turn as a +1 stealth action that costs 1 blood. If that action is successful, Annabelle unlocks.","CE:V, BSC:X","primogen","","Max Shade Fellwalker"
"200104","Annazir","","Vampire","Baali","","5","9","DAI OBF POT PRE","Independent. 2 votes (titled): Annazir can burn a location or steal an equipment as a (D) action. Infernal. +1 bleed.","HttB:U/A2","2 votes","","Nicolas Bigot"
"200105","Anne-Marie Bourgeois, Inconnu Recruiter","","Vampire","Toreador","","5","5","cel pre AUS","Camarilla: Equipment costs Anne-Marie 1 {fewer} pool.","Anthology:LARP1","","","Carmen Cornet"
"200106","Anneke","","Vampire","Toreador","","1","10","dom AUS CEL PRE","Camarilla Toreador Justicar: Anneke may attempt to block a vampire controlled by another Methuselah, ignoring the normal prey, predator or target restrictions for blocking actions. +1 bleed.","Jyhad:V, VTES:V, Tenth:B","justicar","","Lawrence Snelly"
"200107","Anson","","Vampire","Toreador","","1","8","aus dom CEL PRE","Camarilla Prince of Seattle: If Anson is ready during your master phase, you get two master phase actions (instead of one).","Jyhad:V, VTES:V, Tenth:A","prince","","Mark Tedin"
"200108","Antara","","Vampire","Assamite","","4","8","aus obf pre CEL FOR QUI","Independent: Antara gets +1 intercept against Sabbat vampires. He burns 1 blood after any Methuselah plays a Gehenna event. Blood cursed.","Gehenna:U, KMW:PAn, POD:DTC","","","Christopher Shy"
"200109","Antoine, The Lost","","Vampire","Malkavian","","4","5","aus cel dem OBF","Camarilla.","TR:U","","","Ken Meyer, Jr."
"200110","Antoinette, She Who Watches","","Vampire","Toreador","","3","6","cel obf AUS PRE","Camarilla primogen.","CE:V, BSC:X","primogen","","Lawrence Snelly"
"200111","Antoinette Dubois","","Vampire","Daughter of Cacophony","","4","4","for mel PRE","Independent: Toreador and Toreador antitribu cannot block Antoinette. -1 intercept.","LoB:U","","","Lawrence Snelly"
"200112","Antoinette DuChamp","","Vampire","Caitiff","","2","1","cel pre","Camarilla: Action cards and strike cards that require Celerity [cel] cost Antoinette an additional blood.","DS:V, Tenth:A","","","Max Shade Fellwalker"
"200113","Anton","","Vampire","Tzimisce","","2","8","cel obf vic ANI AUS","Sabbat: +1 intercept.","Sabbat:V, SW:U/PT","","","Lawrence Snelly"
"200114","Antón de Concepción","","Vampire","Lasombra","","4","9","aus ANI DOM OBT POT","Sabbat Archbishop of Chicago: Antón gets 1 optional maneuver during the first round of combat.","Third:V, SP:PoS2, POD:DTC","archbishop","","Quinton Hoover"
"200115","Antonino","","Vampire","Gangrel","","3","6","ani pre pro FOR","Independent: Antonino gets +1 stealth on undirected actions.","Anarchs:PAB","","","Fred Hooper"
"200116","Antonio d'Erlette","","Vampire","Tremere antitribu","","4","5","dom for pot THA","Sabbat: While Antonio is ready, you can use 4 transfers to search your library (shuffle afterward) and/or hand for a mage ally he could play. Put that ally in play with life equal to its starting life and pay its cost as normal.","Third:V, SP:PwN5","","","David Day"
"200117","Antonio Delgado","","Vampire","Lasombra","","2","9","tha DOM OBT POT","Sabbat Archbishop of Atlanta: If Antonio performs a political action whose referendum passes, he can unlock during the discard phase.","Sabbat:V, SW:U/PL, POD:DTC","archbishop","","Max Shade Fellwalker"
"200118","Antonio Veradas","","Vampire","Brujah antitribu","","3","8","obf CEL POT PRE","Sabbat bishop: Antonio gets +1 stealth when equipping with a weapon. During your discard phase, Antonio may burn 1 blood to unlock.","CE:V, BSC:X","bishop","","Mike Danza"
"200119","Anu Diptinatpa","","Vampire","Nagaraja","","6","7","aus vic DOM NEC","Independent: During {a bleed} action, Anu can burn 1 blood to give {the acting} minion +1 bleed. Scarce.","HttB:U/A2","","","Robin Chyo"
"200120","Anvil","","Vampire","Brujah","","1","6","dom pre tha CEL POT","Camarilla primogen.","Jyhad:V, VTES:V, Tenth:A","primogen","","Daniel Gelon"
"200121","Anwar","","Vampire","Assamite","","2","4","cel obf qui","Independent: Blood cursed.","FN:U2, POD:DTC","","","Christopher Shy"
"200122","Apache Jones","","Vampire","Malkavian antitribu","","4","5","aus for obf DEM","Sabbat.","Third:PM2","","","Steve Ellis"
"200123","Apolonia Czarnecki","","Vampire","Malkavian","","5","7","pre AUS DEM OBF","Camarilla: Apolonia can steal 1 blood from a younger vampire as a (D) action.","Anthology:LARP1, FB:PM1","","","Noora Hirvonen"
"200124","Appius Claudius Corvus","","Vampire","Lasombra","","5","10","cel nec DOM OBT POT","Sabbat: Black Hand. Seraph. +1 stealth.","SoC:V, POD:DTC","","","Mark Poole"
