"Id","Name","Aka","Type","Clan","Discipline","Pool Cost","Blood Cost","Conviction Cost","Burn Option","Card Text","Flavor Text","Set","Requirement","Banned","Artist","Capacity","Draft"
"100053","Anarch Manifesto, An","","Equipment","","","","","","","Equipment.
The anarch with this equipment gets +1 stealth on actions that require an anarch. Titled non-{A}narch vampires get +1 strength in combat with this minion. A minion may have only one Anarch Manifesto.","","TR:C","","","Heather Kreiter","",""
"100054","Anarch Railroad","","Master","","","2","","","","Master: unique location.
Lock to give an anarch +1 stealth for the current action.","The Freedom Train will get you back east, at least as far as Staten Island. If you want to cross the bridge when you get there, you'll probably be on your own.
Almiro Suarez, Tremere anarch","Anarchs:R2","","","Joel Biske","",""
"100055","Anarch Revolt","","Master","","","","","","","Master.
Put this card in play. A Methuselah who does not control a ready anarch burns 1 pool during his or her unlock phase. Any vampire can call a referendum to burn this card as a +1 stealth political action.","The Ventrue are working with us on this? Those anarchs must be more annoying than I thought.
Brujah, Rome 2002 Winter Storyline","Jyhad:U, VTES:U, CE:U, Anarchs:PAB2, KMW:PAn, Third:U","","","Pete Venters; Steve Prescott","",""
"100056","Anarch Salon","","Political Action","","","","","","","Requires an anarch.
Successful referendum means each ready anarch gains 1 blood from the blood bank, and each Methuselah who controls at least one anarch gains 1 pool from the blood bank.","","Anarchs:C2/PAB2","anarch","","James Stowe","",""
"100057","Anarch Secession","","Action","","","","","","","+1 stealth action. Requires a ready, non-anarch, titled vampire.
{}This vampire becomes {Anarch}. If he or she had a city title, put this card on him or her as a title card to represent the title of baron of the same city. Minions without titles cannot block this action.{}","","KMW:R","non-anarch,titled","","David Day","",""
"100058","Anarch Troublemaker","","Master","","","","","","","Unique.
Put this card in play. During your unlock phase, you can give control of the Anarch Troublemaker to your prey and either lock up to two vampires they control or burn an equipment on one of their minions.","I am the accuser and avenger of blood...
William Blake, ""The Ghost of Abel""","Jyhad:R, VTES:R, CE:R, Anarchs:PAB, KoT:R, V5:PV1","","","Bryon Wackwitz; Peter Bergting","",""
"100059","Anarchist Uprising","","Political Action","","","","","","","Successful referendum means each Methuselah burns 1 pool for each minion they control.","We are all brothers of oppression, and today, brothers of oppression are identified with each other all over the world.
Malcolm X","Sabbat:C, SW:C/PV, Anarchs:PAB3, Third:C, SP:PoS1, 25th:1","","","Scott Fischer","",""
"100060","Anathema","","Political Action","","","","","","","Requires a prince or justicar.
Choose a ready vampire. If the referendum is successful, put this card on that vampire. If the vampire with this card is reduced to zero blood in combat, he or she is burned, and the Methuselah controlling the opposing minion gains pool equal to the burned vampire's capacity.","","DS:U2, CE:U/PB, KMW:PAl2","prince,justicar","","Steve Casper","",""
"100061","Ancestor Spirit","","Master","","","","","","","Unique master.
Put this card on a Laibon with capacity above 4. This Laibon has +1 bleed and gets an additional vote in any referendum he or she calls.","The dead are not under the earth.
They are in the fire that is dying;
They are in the grasses that weep;
They are in the whimpering rocks;
They are in the forest; they are in the house.
The dead are not dead.
Amavi, Akunanse","LoB:R","","","Jeff Holt","",""
"100062","Ancestor's Insight","","Action Modifier/Reaction","","Auspex","","","","","Requires a ready Laibon.
[aus] [REACTION] Reduce a bleed against you by 1.
[AUS] [ACTION MODIFIER] {Only usable during a bleed action. +1 bleed (limited).}","Take care, let us not die from blessings like the giants did.
Kenyatta, Ishtarri","LoB:C/PO4","laibon","","Alexander Dunnigan","",""
"100063","Ancestor's Talisman, The","","Equipment","Assamite","","","","","","Unique.
The bearer gets +1 intercept during actions requiring Dominate [dom] or Presence [pre].","","AH:C2, FN:PA, POD:DTC","","","Liz Danforth","",""
"100064","Ancient Influence","","Political Action","","","","","","","Only one Ancient Influence can be played or called in a game.
Successful referendum means each Methuselah can choose a ready vampire they control; each Methuselah gains pool equal to their chosen vampire's capacity, then burns 5 pool.","","Jyhad:C, VTES:C, SW:PT/PV, CE:C, LoB:PG, SP:PoS1, 25th:1","","","Pete Venters","",""
"100065","Ancilla Empowerment","","Political Action","","","","","","","Successful referendum means each Methuselah burns 1 pool for each minion they control.","","Jyhad:C, VTES:C, CE:C/PTo2, LoB:PG2, 25th:1, FB:PV1, V5:PV1","","","William O'Connor","",""
"100066","Anesthetic Touch","","Combat","","Obeah/Auspex","","","","","Only usable at close range.
[aus] Strike: dodge.
[obe] Strike: hand strike. Combat ends immediately after the resolution of this strike.
[OBE] As [obe] above, with first strike.","Just relax; this won't hurt, much.
Blanche Hill, Salubri","BL:C1, LoB:C","","","Mark Nelson","",""
"100067","Angel of Berlin","","Master","","","","","","","Master: out-of-turn. Requires a ready imbued.
Unlock an imbued, or equip a ready imbued you control with an equipment from your hand (requirements must be met; pay cost as normal). Not usable during combat.","They also serve who only stand and wait.
John Milton, ""On His Blindness""","NoR:C","imbued","","David Day","",""
"100068","Anima Gathering","","Action","","Auspex","","","","","+1 stealth action.
[aus] Put this card on this acting vampire and choose another minion you control. Burn this card if this minion unlocks. During your unlock phase, you may choose not to unlock this minion as normal. The chosen minion gets +2 intercept.
[AUS] As above, and the chosen minion also gets +1 bleed.","","KMW:C, KoT:C","","","Jeff Holt","",""
"100069","Animal Magnetism","","Action Modifier","","Animalism & Obfuscate","","","","","Only usable during a referendum.
[ani][obf] This vampire gains 1 vote.
[ANI][OBF] This vampire gains 3 votes.","I am no orator, as Brutus is;
But, as you know me all, a plain blunt man.
William Shakespeare, ""Julius Ceasar"", act III, scene 2","BH:C","","","Fred Harper","",""
"100070","Animalism","","Master","","","","","","","Discipline.
Put this card on a vampire. This vampire gets +1 level of Animalism [ani] and +1 capacity. Cannot be put on a vampire with superior Animalism [ANI].","","Jyhad:C, VTES:C, Sabbat:C, SW:C/PT, FN:PR, CE:C, FB:PN1","","","Melissa Benson; Sandra Everingham","+1",""
"100071","Ankara Citadel, Turkey, The","","Equipment","Tremere","","","2","","","While in play, this equipment card represents a location and does not count as equipment. Unique.
Non-action modifier cards costing blood cost this vampire half as much blood to play, rounded down (multiplication and division are handled first, followed by addition and subtraction).","","AH:U5, CE:U, KoT:U, 25th:1, Promo-20200511","","","Greg Simanson; Brian LeBlanc","",""
"100072","Anonymous Freight","","Action","","","","","","","+3 stealth equip action. Requires a vampire.
Equip this vampire with a non-location equipment card from your hand (requirements and cost apply as normal).","","TR:C","","","Brian LeBlanc","",""
"100073","Antediluvian Awakening","","Master","","","","","","","Unique master.
Put this card in play. During each Methuselah's unlock phase, he or she burns 1 pool, or he or she may burn a vampire he or she controls with a capacity 4 or more to burn this card.","","DS:U2, SW:PV, HttB:PGar","","","Ron Spencer; Gary Chatterton","",""
"100074","Anthelios, The Red Star","","Event","","","","","","","Gehenna.
Once each master phase, a Methuselah can use a master phase action to exchange a master card in his or her hand for one in his or her ash heap.","The Red Star shines brightly -- more so, I am told, to those with the gift of superior sight, but it is obvious even to me. Can you truly not see that Gehenna is upon us?
Prince Giangaleazzo, Lasombra antitribu","Promo-20040411","","2016","Becky Jollensten","",""
"100075","Antithesis","","Action","","Judgment","","","","","+3 stealth action.
(D) Put this card on a non-Sabbat vampire with capacity less than 8. The vampire with this card cannot hunt. If he or she must hunt, he or she locks and goes to torpor instead. Burn this card during this vampire's discard phase.","","NoR:C","","","Brian LeBlanc","",""
"100076","Apparition","","Combat","","Chimerstry","","1","","","Do not replace until after combat.
[chi] This vampire may prevent 1 damage each round this combat.
[CHI] This vampire may prevent 2 damage each round this combat.","Girls would come out of inadequate graves to stand near...
Rilke, ""Duino Elegy #7""","DS:C2, FN:PR3, LotN:PR4","","","Stuart Beel; Craig Grant","",""
"100077","Apportation","","Combat","","Thaumaturgy","","","","","[tha] Press, only usable to continue combat.
[THA] Maneuver.","The gun flew from my hands like God himself chose to intervene.
Jacob Bragg, Brujah antitribu","Sabbat:C, CE:C/PTr5, BH:PTr4, KMW:PB, Third:C/PTr5, FB:PTr4, V5:PTr4","","","Clint Langley","",""
"100078","Approximation of Loyalty","","Action Modifier","","Presence","","1","","","Requires a vampire with capacity 7 or more.
[pre] Only usable as the action is announced. Choose a vampire with capacity 6 or less or an ally. That minion cannot block this action.
[PRE] Cancel a reaction card played by a vampire with capacity 6 or less or an ally as it is played (no cost is paid). No more action modifiers can be played on this action.","","Gehenna:C, KMW:PAn2, LotN:PS3, KoT:C/PT4","capacity 7 or more","","Monte Moore","",""
"100079","Aranthebes, The Immortal","","Action","","","1","","","","+1 stealth action. Unique.
Put this card into play. You may lock Aranthebes to give a minion controlled by your predator -1 stealth for the current action. While Aranthebes is unlocked, vampires with a capacity less than 5 get -1 bleed when bleeding you. Any vampire with a capacity above 4 can move Aranthebes to your library as a (D) action. Shuffle afterward.","","Anarchs:R, Third:PB","","","Andrew Trabbold","",""
"100080","Arcane Appraiser","","Ally","Toreador","","","","","","Unique ghoul with 1 life. 0 strength, 1 bleed.
Arcane Appraiser can move an equipment from a vampire in torpor to a ready minion you control as a +1 stealth (D) action. If a second copy of a unique equipment you control would enter play, {instead it is burned}.","","KoT:R/B1","","","Tony Shasteen","",""
"100081","Arcane Library","","Master","Tremere","","2","","","","Unique location.
Lock during your influence phase to add 1 blood to a Tremere in your uncontrolled region.","","Jyhad:R, VTES:R, CE:R, KoT:R, FB:PTr1, V5:PTr1","","","Mark Tedin; William O'Connor","",""
"100082","Arcanum Chapterhouse, Alexandria","","Master","","","","","","","Master: unique location.
Each of your predator and prey burns 1 pool during his or her unlock phase for each Hunting Ground he or she controls. Any minion may burn this card as a (D) action.","The learned ones are the heirs of the prophets -- they leave knowledge as their inheritance; he who inherits it inherits a great fortune.
Hadith of al-Bikhari","AH:U5, FN:PS, CE:PTr","","","Ken Meyer, Jr.","",""
"100083","Arcanum Investigator","","Ally","","","2","","","","Mortal with 2 life. 1 strength, 0 bleed.
As a (D) action, Arcanum Investigator can burn an equipment card possessed by a minion controlled by your predator or prey.","He grants wisdom to whom He pleases; and he to whom wisdom is granted receives indeed a benefit overflowing.
The Quar'an 2:269","AH:C2","","","Ron Spencer","",""
"100084","Archon","","Political Action","","","","","","","Requires a prince or justicar.
Choose a Camarilla vampire. If this referendum is successful, put this card on the chosen vampire. This vampire may enter combat with a vampire controlled by another Methuselah as a +1 stealth (D) action. Any vampire attempting to block this vampire burns 1 blood. Blood hunts cannot be called on this vampire. Any Camarilla vampire can call a referendum to burn this card as a +1 stealth political action.","","Jyhad:V, VTES:V, CE:U, KMW:PAl3","prince,justicar","","Heather Hudson","",""
"100085","Archon Investigation","","Master","","","3","","","","Master: out-of-turn.
Only usable when a minion is attempting to bleed you and the bleed amount is 4 or more. Burn the acting minion. (The action is not successful.)","","VTES:U, CE:U, KMW:PG, Third:U, KoT:U","","","Peter Bergting; Lawrence Snelly","",""
"100086","Argent Baton","","Equipment","","","","","","","Unique melee weapon.
Strike: strength+1 damage. If the opposing minion is a werewolf, the bearer can make a ranged strike to burn 4 life from that werewolf.","The power only serves under moonlight. Well, and only at night, to be precise.
Count Vladimir Rustovich, Tzimisce","Promo-20070601","","","Becky Jollensten","",""
